SEKOLAH KEBANGSAAN TOH TANDEWA SAKTI,ABA0001
SEKOLAH KEBANGSAAN PENDITA ZA'BA,ABA0002
SEKOLAH KEBANGSAAN BANIR,ABA0003
SEKOLAH KEBANGSAAN TEMOH,ABA0004
SEKOLAH KEBANGSAAN CHENDERIANG,ABA0005
SEKOLAH KEBANGSAAN BIDOR,ABA0006
SEKOLAH KEBANGSAAN KAMPONG POH,ABA0007
SEKOLAH KEBANGSAAN BATU TIGA,ABA0008
SEKOLAH KEBANGSAAN BATU MELINTANG,ABA0009
SEKOLAH KEBANGSAAN HAJI HASAN,ABA0010
SEKOLAH KEBANGSAAN SRI KINJANG,ABA0011
SEKOLAH KEBANGSAAN KAMPONG PAHANG,ABA0012
SEKOLAH KEBANGSAAN BATU TUJUH,ABA0013
SEKOLAH KEBANGSAAN JERAM MENGKUANG,ABA0014
SEKOLAH KEBANGSAAN SUNGAI LESONG,ABA0015
SEKOLAH KEBANGSAAN AYER KUNING,ABA0016
SEKOLAH KEBANGSAAN BATU MASJID,ABA0017
SEKOLAH KEBANGSAAN SUNGKAI,ABA0018
SEKOLAH KEBANGSAAN PERLOK,ABA0019
SEKOLAH KEBANGSAAN BIKAM,ABA0020
SEKOLAH KEBANGSAAN CHANGKAT SULAIMAN,ABA0024
SEKOLAH KEBANGSAAN FELDA SUNGAI KELAH,ABA0031
SEKOLAH KEBANGSAAN BATU 14,ABA0034
SEKOLAH KEBANGSAAN BESOUT 3,ABA0035
SEKOLAH KEBANGSAAN TROLAK UTARA,ABA0110
SEKOLAH KEBANGSAAN TROLAK SELATAN,ABA0118
SEKOLAH KEBANGSAAN SERI BESOUT,ABA0120
SEKOLAH KEBANGSAAN POS GEDONG,ABA0125
SEKOLAH KEBANGSAAN KAMPUNG SENTA,ABA0126
SEKOLAH KEBANGSAAN POS MUSUH LZ,ABA0127
SEKOLAH KEBANGSAAN JERNANG,ABA0128
SEKOLAH KEBANGSAAN TAPAH,ABA0129
SEKOLAH KEBANGSAAN BIDOR 2,ABA0130
SEKOLAH KEBANGSAAN DENDANG,ABA1001
SEKOLAH KEBANGSAAN BERUAS,ABA1002
SEKOLAH KEBANGSAAN KAMPUNG KOTA,ABA1003
SEKOLAH KEBANGSAAN GELONG GAJAH,ABA1004
SEKOLAH KEBANGSAAN CHANGKAT CHERMIN,ABA1005
SEKOLAH KEBANGSAAN AYER TAWAR,ABA1006
SEKOLAH KEBANGSAAN PANCHOR,ABA1007
SEKOLAH KEBANGSAAN PENGKALAN BAHARU,ABA1008
SEKOLAH KEBANGSAAN SUNGAI BATU,ABA1009
SEKOLAH KEBANGSAAN LADANG HUNTLY,ABA1010
SEKOLAH KEBANGSAAN SEGARI,ABA1011
SEKOLAH KEBANGSAAN NAKHODA MUHAMMAD TAIB,ABA1012
SEKOLAH KEBANGSAAN SUNGAI RAMAI,ABA1013
SEKOLAH KEBANGSAAN SUNGAI WANGI,ABA1014
SEKOLAH KEBANGSAAN SERI SELAMAT,ABA1015
SEKOLAH KEBANGSAAN SITIAWAN,ABA1016
SEKOLAH KEBANGSAAN LEKIR,ABA1017
SEKOLAH KEBANGSAAN MUHAMMAD SAMAN,ABA1018
SEKOLAH KEBANGSAAN BATU SEPULUH,ABA1019
SEKOLAH KEBANGSAAN SUNGAI TIRAM,ABA1020
SEKOLAH KEBANGSAAN DATO' ISHAK,ABA1021
SEKOLAH KEBANGSAAN LUMUT,ABA1022
SEKOLAH KEBANGSAAN SERI PANGKOR,ABA1023
SEKOLAH KEBANGSAAN TELAGA NENAS,ABA1024
SEKOLAH KEBANGSAAN KAMPUNG BAHARU,ABA1025
SEKOLAH KEBANGSAAN KAYAN,ABA1026
SEKOLAH KEBANGSAAN PANGKALAN TLDM,ABA1027
SEKOLAH KEBANGSAAN SERI MANJUNG,ABA1028
SEKOLAH KEBANGSAAN PANTAI REMIS,ABA1029
SEKOLAH KEBANGSAAN GUGUSAN LEKIR,ABA1030
SEKOLAH KEBANGSAAN PANGKALAN TLDM II,ABA1031
SEKOLAH KEBANGSAAN KPG. DATO' SERI KAMARUDDIN,ABA1032
SEKOLAH KEBANGSAAN SERI SITIAWAN,ABA1033
SEKOLAH KEBANGSAAN SERI BAYU,ABA1034
SEKOLAH KEBANGSAAN SERI SAMUDERA,ABA1035
SEKOLAH KEBANGSAAN SUNGAI RAYA,ABA2001
SEKOLAH KEBANGSAAN SUNGAI RAPAT,ABA2002
SEKOLAH KEBANGSAAN SUNGAI ROKAM,ABA2003
SEKOLAH KEBANGSAAN TAMBUN,ABA2004
SEKOLAH KEBANGSAAN TANJONG RAMBUTAN,ABA2005
SEKOLAH KEBANGSAAN TASEK,ABA2006
SEKOLAH KEBANGSAAN CHEPOR,ABA2007
SEKOLAH KEBANGSAAN HAJI MAHMUD,ABA2008
SEKOLAH KEBANGSAAN SYED IDRUS,ABA2009
SEKOLAH KEBANGSAAN DATO' PANGLIMA KINTA,ABA2010
SEKOLAH KEBANGSAAN JALAN PANGLIMA BUKIT GANTANG,ABA2011
SEKOLAH KEBANGSAAN SERI KEPAYANG,ABA2012
SEKOLAH KEBANGSAAN KAMPUNG PASIR PUTEH,ABA2014
SEKOLAH KEBANGSAAN KUALA PARI,ABA2015
SEKOLAH KEBANGSAAN PENGKALAN PEGOH,ABA2016
SEKOLAH KEBANGSAAN PENGKALAN BAHARU,ABA2017
SEKOLAH KEBANGSAAN TOH INDERA WANGSA AHMAD,ABA2030
SEKOLAH KEBANGSAAN SIPUTEH,ABA2031
SEKOLAH KEBANGSAAN TRONOH,ABA2032
SEKOLAH KEBANGSAAN KG. SERI RAHMAT,ABA2033
SEKOLAH KEBANGSAAN TANJUNG TUALANG,ABA2034
SEKOLAH KEBANGSAAN AYER PAPAN,ABA2035
SEKOLAH KEBANGSAAN CHANGKAT TIN,ABA2036
SEKOLAH KEBANGSAAN BAKAP,ABA2038
SEKOLAH KEBANGSAAN PASUKAN POLIS HUTAN,ABA2039
SEKOLAH KEBANGSAAN AYER DENAK,ABA2040
SEKOLAH KEBANGSAAN MANJOI (SATU),ABA2041
SEKOLAH KEBANGSAAN GURU KALGIDHAR,ABA2042
SEKOLAH KEBANGSAAN MANJOI (DUA),ABA2043
SEKOLAH KEBANGSAAN PENDIDIKAN KHAS IPOH,ABA2044
SEKOLAH KEBANGSAAN JELAPANG,ABA2045
SEKOLAH KEBANGSAAN DATO' AHMAD SAID TAMBAHAN,ABA2046
SEKOLAH KEBANGSAAN POS RAYA,ABA2047
SEKOLAH KEBANGSAAN SERI TANJUNG,ABA2049
SEKOLAH KEBANGSAAN SERI AMPANG,ABA2050
SEKOLAH KEBANGSAAN JALAN PEGOH,ABA2051
SEKOLAH KEBANGSAAN SERI KELEBANG,ABA2052
SEKOLAH KEBANGSAAN PERPADUAN,ABA2053
SEKOLAH KEBANGSAAN RAJA CHULAN,ABA2055
SEKOLAH KEBANGSAAN TAMAN BERSATU,ABA2056
SEKOLAH KEBANGSAAN PENGKALAN,ABA2057
SEKOLAH KEBANGSAAN JATI,ABA2058
SEKOLAH KEBANGSAAN BANDAR BARU PUTERA,ABA2059
SEKOLAH KEBANGSAAN SILIBIN,ABA2060
SEKOLAH KEBANGSAAN TASEK DERMAWAN,ABA2061
SEKOLAH KEBANGSAAN SIMPANG PULAI,ABA2062
SEKOLAH KEBANGSAAN RAPAT JAYA,ABA2063
SEKOLAH KEBANGSAAN PINJI,ABA2064
SEKOLAH KEBANGSAAN JELAPANG JAYA,ABA2065
SEKOLAH KEBANGSAAN BUNTONG,ABA2066
SEKOLAH KEBANGSAAN SERI JAYA,ABA2067
SEKOLAH KEBANGSAAN RAPAT SETIA,ABA2068
SEKOLAH KEBANGSAAN WIRA JAYA,ABA2069
SEKOLAH KEBANGSAAN SERI MUTIARA,ABA2070
SEKOLAH KEBANGSAAN TASIK DAMAI,ABA2071
SEKOLAH KEBANGSAAN PAKATAN JAYA,ABA2072
SEKOLAH KEBANGSAAN KELEBANG JAYA,ABA2073
SEKOLAH KEBANGSAAN TANAH HITAM,ABA2074
SEKOLAH KEBANGSAAN MERU RAYA,ABA2075
SEKOLAH KEBANGSAAN ALOR PONGSU,ABA3001
SEKOLAH KEBANGSAAN BAGAN SERAI,ABA3002
SEKOLAH KEBANGSAAN BUKIT MERAH,ABA3003
SEKOLAH KEBANGSAAN CHANGKAT LOBAK,ABA3004
SEKOLAH KEBANGSAAN DATO' MAS'UD,ABA3005
SEKOLAH KEBANGSAAN KUALA KURAU,ABA3006
SEKOLAH KEBANGSAAN MATANG GERDU,ABA3007
SEKOLAH KEBANGSAAN MATANG JELUTONG,ABA3008
SEKOLAH KEBANGSAAN PARIT HAJI TAIB,ABA3009
SEKOLAH KEBANGSAAN PARIT HAJI AMAN,ABA3010
SEKOLAH KEBANGSAAN SUNGAI BOGAK,ABA3011
SEKOLAH KEBANGSAAN SRI SIAKAP,ABA3012
SEKOLAH KEBANGSAAN TEBUK PANCUR,ABA3013
SEKOLAH KEBANGSAAN TELUK MEDAN,ABA3014
SEKOLAH KEBANGSAAN TELOK PIAL,ABA3015
SEKOLAH KEBANGSAAN JALAN BAHARU,ABA3016
SEKOLAH KEBANGSAAN HAJI RAMLI,ABA3017
SEKOLAH KEBANGSAAN KAMPONG KEDAH,ABA3018
SEKOLAH KEBANGSAAN SRI KERIAN,ABA3019
SEKOLAH KEBANGSAAN PARIT HJ WAHAB,ABA3020
SEKOLAH KEBANGSAAN PARIT TOK NGAH,ABA3021
SEKOLAH KEBANGSAAN SUNGAI BAHARU,ABA3022
SEKOLAH KEBANGSAAN SUNGAI BURONG,ABA3023
SEKOLAH KEBANGSAAN SUNGAI STAR,ABA3024
SEKOLAH KEBANGSAAN TANAH KEBUN,ABA3025
SEKOLAH KEBANGSAAN TANJONG PIANDANG,ABA3026
SEKOLAH KEBANGSAAN TITI SERONG,ABA3027
SEKOLAH KEBANGSAAN SUNGAI MEGAT ARIS,ABA3028
SEKOLAH KEBANGSAAN GUNONG SEMANGGOL,ABA3029
SEKOLAH KEBANGSAAN KAMPONG DEW,ABA3030
SEKOLAH KEBANGSAAN DATO' ALAUDIN,ABA3031
SEKOLAH KEBANGSAAN SAMA GAGAH,ABA3032
SEKOLAH KEBANGSAAN SUNGAI KEPAR,ABA3033
SEKOLAH KEBANGSAAN SERI PINANG,ABA3034
SEKOLAH KEBANGSAAN KAMPONG TUA,ABA3035
SEKOLAH KEBANGSAAN KAMPONG SELAMAT,ABA3036
SEKOLAH KEBANGSAAN HAJI DAHLAN,ABA3037
SEKOLAH KEBANGSAAN KUALA GULA,ABA3038
SEKOLAH KEBANGSAAN KUALA KURAU (BARU),ABA3039
SEKOLAH KEBANGSAAN BARU PARIT BUNTAR,ABA3040
SEKOLAH KEBANGSAAN WAWASAN,ABA3041
SEKOLAH KEBANGSAAN SAYONG,ABA4001
SEKOLAH KEBANGSAAN KOTA LAMA KANAN,ABA4002
SEKOLAH KEBANGSAAN PADANG AMPANG,ABA4003
SEKOLAH KEBANGSAAN BELURU,ABA4004
SEKOLAH KEBANGSAAN BENDANG KERING,ABA4005
SEKOLAH KEBANGSAAN MENORA,ABA4006
SEKOLAH KEBANGSAAN BEKOR,ABA4007
SEKOLAH KEBANGSAAN KUALA KENAS,ABA4008
SEKOLAH KEBANGSAAN SENGGANG,ABA4009
SEKOLAH KEBANGSAAN RAMBAI TUJUH,ABA4010
SEKOLAH KEBANGSAAN SULTAN IDRIS II,ABA4011
SEKOLAH KEBANGSAAN RAJA PEREMPUAN MUZWIN,ABA4012
SEKOLAH KEBANGSAAN TANAH MERAH,ABA4013
SEKOLAH KEBANGSAAN SYEIKH MOHD. IDRIS AL-MARBAWI,ABA4014
SEKOLAH KEBANGSAAN KATI,ABA4015
SEKOLAH KEBANGSAAN CHEH,ABA4016
SEKOLAH KEBANGSAAN SAUK,ABA4017
SEKOLAH KEBANGSAAN SULTAN ABDUL AZIZ,ABA4018
SEKOLAH KEBANGSAAN ULU KENAS,ABA4019
SEKOLAH KEBANGSAAN LEMPOR,ABA4020
SEKOLAH KEBANGSAAN JELIANG,ABA4021
SEKOLAH KEBANGSAAN ARA PANJANG,ABA4022
SEKOLAH KEBANGSAAN MANONG,ABA4023
SEKOLAH KEBANGSAAN ULU PIOL,ABA4024
SEKOLAH KEBANGSAAN TALANG,ABA4025
SEKOLAH KEBANGSAAN PADANG ASAM,ABA4026
