SEKOLAH KEBANGSAAN KUALA TRIANG,CBAA039,null
SEKOLAH KEBANGSAAN BUKIT GEMURUH (JHEOA),CBAA001,null
SEKOLAH KEBANGSAAN LKTP TEMBANGAU 6,CBAA011,null
SEKOLAH KEBANGSAAN BT ROK,CBAA042,null
SEKOLAH KEBANGSAAN (FELDA) BT MENDI,CBAA057,null
SEKOLAH KEBANGSAAN (FELDA) BT KEPAYANG,CBAA109,null
SEKOLAH KEBANGSAAN BOHOR BAHARU,CBAA123,null
SEKOLAH KEBANGSAAN (FELDA) PURUN,CBAA130,null
SEKOLAH KEBANGSAAN (FELDA) RENTAM,CBAA146,null
SEKOLAH KEBANGSAAN MENGKUANG,CBAA151,null
SEKOLAH KEBANGSAAN KERAYONG JAYA,CBAA152,null
SEKOLAH JENIS KEBANGSAAN (CINA) MENGKARAK,CBCA084,null
SEKOLAH JENIS KEBANGSAAN (CINA) MENTERI,CBCA088,null
SEKOLAH JENIS KEBANGSAAN (TAMIL) LDG MENTERI,CBDA097,null
SEKOLAH JENIS KEBANGSAAN (TAMIL) LDG KARMEN,CBDA098,null
SEKOLAH MENENGAH KEBANGSAAN BUKIT MENDI,CEAA115,null
SEKOLAH MENENGAH KEBANGSAAN KEMAYAN,CEAA159,null
SEKOLAH KEBANGSAAN LKTP TEMBANGAU 3,CBAA010,null
SEKOLAH KEBANGSAAN DURIAN TAWAR,CBAA036,null
SEKOLAH KEBANGSAAN BATU PAPAN,CBAA040,null
SEKOLAH KEBANGSAAN KUALA BERA,CBAA041,null
SEKOLAH KEBANGSAAN (FELDA) TRIANG 3,CBAA045,null
SEKOLAH KEBANGSAAN KEMAYAN,CBAA147,null
SEKOLAH KEBANGSAAN (FELDA) KUMAI,CBAA148,null
SEKOLAH JENIS KEBANGSAAN (CINA) TRIANG (1),CBCA079,null
SEKOLAH MENENGAH KEBANGSAAN BANDAR KERAYONG,CEAA161,null
SEKOLAH MENENGAH KEBANGSAAN TEMBANGAU,CEAA162,null
SEKOLAH MENENGAH KEBANGSAAN SERI BERA,CEAA163,null
SEKOLAH MENENGAH KEBANGSAAN TRIANG 3,CEAA164,null
SEKOLAH MENENGAH KEBANGSAAN TRIANG,CEBA072,null
SEKOLAH KEBANGSAAN BUKIT PIATU,CBA0019,null
SEKOLAH JENIS KEBANGSAAN (CINA) KHAI MUN CHAMANG,CBC0025,null
SEKOLAH JENIS KEBANGSAAN (CINA) KETARI,CBC0027,null
SEKOLAH JENIS KEBANGSAAN (TAMIL) KARAK,CBD0041,null
SEKOLAH MENENGAH KEBANGSAAN BUKIT TINGGI,CEA0057,null
SEKOLAH MENENGAH KEBANGSAAN KARAK SETIA,CEA0059,null
SEKOLAH MENENGAH KEBANGSAAN KATHOLIK,CEB0020,null
SEKOLAH KEBANGSAAN LEBU,CBA0002,null
SEKOLAH KEBANGSAAN TUANKU FATIMAH,CBA0004,null
SEKOLAH KEBANGSAAN SUNGAI DUA,CBA0006,null
SEKOLAH KEBANGSAAN JAMBU RIAS,CBA0008,null
SEKOLAH KEBANGSAAN SIMPANG PELANGAI,CBA0010,null
SEKOLAH KEBANGSAAN (FELDA) MEMPAGA 2,CBA0017,null
SEKOLAH JENIS KEBANGSAAN (CINA) TELEMONG,CBC0033,null
SEKOLAH KEBANGSAAN (FELDA) KEMASUL,CBA0016,null
SEKOLAH MENENGAH KEBANGSAAN  KARAK,CEE0016,null
SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG RENJOK,CBD0040,null
SEKOLAH JENIS KEBANGSAAN (CINA) SG PENJURING,CBK0026,null
SEKOLAH MENENGAH KEBANGSAAN (LKTP) KG SERTIK,CEA0015,null
SEKOLAH MENENGAH KEBANGSAAN SERI BENTONG,CEA0056,null
SEKOLAH MENENGAH KEBANGSAAN (FELDA) CHEMOMOI,CEA0060,null
SEKOLAH MENENGAH KEBANGSAAN KUALA REPAS,CEA0058,null
SEKOLAH KEBANGSAAN SULAIMAN,CBB0015,null
SEKOLAH KEBANGSAAN PELANGAI,CBA0009,null
SEKOLAH KEBANGSAAN LENTANG,CBA0018,null
SEKOLAH JENIS KEBANGSAAN (CINA) KHAI MUN REPAS,CBC0024,null
SEKOLAH JENIS KEBANGSAAN (CINA) PERTING,CBC0028,null
SEKOLAH JENIS KEBANGSAAN (CINA) BUKIT TINGGI,CBC0035,null
SEKOLAH JENIS KEBANGSAAN (TAMIL) BENTONG,CBD0038,null
SEKOLAH MENENGAH KEBANGSAAN KETARI,CEB0019,null
SEKOLAH MENENGAH KEBANGSAAN BENTONG,CEA0014,null
SEKOLAH KEBANGSAAN (FELDA) BT TAJAU,CBA9004,null
SEKOLAH KEBANGSAAN SENGGORA,CBA9009,null
SEKOLAH KEBANGSAAN KUALA WAU,CBA9010,null
SEKOLAH KEBANGSAAN SERENGKAM,CBA9011,null
SEKOLAH KEBANGSAAN PAYA PASIR,CBA9012,null
SEKOLAH KEBANGSAAN KERTAU,CBA9041,null
SEKOLAH KEBANGSAAN BUKIT LADA,CBA9045,null
SEKOLAH KEBANGSAAN (FELDA) JENGKA 9,CBA9118,null
SEKOLAH KEBANGSAAN (FELDA) JENGKA 10,CBA9119,null
